"id","category","text_he","priority"
"entry-letters","כניסה למשחק","עכשיו משחקים באותיות.","חובה"
"entry-numbers","כניסה למשחק","עכשיו משחקים במספרים.","חובה"
"entry-shapes","כניסה למשחק","עכשיו משחקים בצורות.","חובה"
"entry-colors","כניסה למשחק","עכשיו משחקים בצבעים.","חובה"
"entry-matching","כניסה למשחק","עכשיו משחקים בהתאמה.","חובה"
"entry-memory","כניסה למשחק","עכשיו משחקים בזיכרון.","חובה"
"entry-patterns","כניסה למשחק","עכשיו משחקים ברצפים.","חובה"
"entry-sorting","כניסה למשחק","עכשיו משחקים במיון ובסיווג.","חובה"
"feedback-correct-01","משוב חיובי","כל הכבוד!","חובה"
"feedback-correct-02","משוב חיובי","מצוין!","חובה"
"feedback-correct-03","משוב חיובי","אלוף או אלופה!","חובה"
"feedback-correct-04","משוב חיובי","מעולה!","חובה"
"feedback-correct-05","משוב חיובי","נהדר!","חובה"
"feedback-retry-01","ניסיון נוסף","כמעט!","חובה"
"feedback-retry-02","ניסיון נוסף","נסו שוב.","חובה"
"feedback-retry-03","ניסיון נוסף","עוד רגע מצליחים!","חובה"
"feedback-retry-04","ניסיון נוסף","בואו ננסה שוב!","חובה"
"matching-correct","התאמה","כל הכבוד, מצאתם התאמה!","חובה"
"matching-retry","התאמה","כמעט, נסו שוב.","חובה"
"memory-correct","זיכרון","מצוין, מצאתם זוג!","חובה"
"memory-retry","זיכרון","לא זוג, נסו לזכור איפה הקלפים היו.","חובה"
