"id","category","text_he","priority"
"ui-welcome-start","פתיחה","מתחילים לשחק וללמוד בכיף.","חובה"
"entry-letters","כניסה למשחק","עכשיו משחקים באותיות.","חובה"
"entry-numbers","כניסה למשחק","עכשיו משחקים במספרים.","חובה"
"entry-shapes","כניסה למשחק","עכשיו משחקים בצורות.","חובה"
"entry-colors","כניסה למשחק","עכשיו משחקים בצבעים.","חובה"
"entry-matching","כניסה למשחק","עכשיו משחקים בהתאמה.","חובה"
"entry-memory","כניסה למשחק","עכשיו משחקים בזיכרון.","חובה"
"entry-patterns","כניסה למשחק","עכשיו משחקים ברצפים.","חובה"
"entry-sorting","כניסה למשחק","עכשיו משחקים במיון ובסיווג.","חובה"
"intro-letters","הוראת פתיחה: אותיות","ברוכים הבאים למשחק אותיות. הקשיבו לשאלה, הסתכלו על התמונה או המילה, ובחרו את התשובה המתאימה.","חובה"
"intro-numbers","הוראת פתיחה: מספרים","ברוכים הבאים למשחק מספרים. ספרו לאט, הסתכלו על הפריטים, ובחרו את המספר הנכון.","חובה"
"intro-shapes","הוראת פתיחה: צורות","ברוכים הבאים למשחק צורות. בדקו איזו צורה מופיעה, כמה צלעות יש לה, ובחרו תשובה.","חובה"
"intro-colors","הוראת פתיחה: צבעים","ברוכים הבאים למשחק צבעים. הסתכלו על הפריט או על העיגול הצבעוני ובחרו את הצבע המתאים.","חובה"
"intro-matching","הוראת פתיחה: התאמה","ברוכים הבאים למשחק התאמה. בחרו פריט בצד אחד ואז את בן הזוג המתאים בצד השני.","חובה"
"intro-memory","הוראת פתיחה: זיכרון","ברוכים הבאים למשחק הזיכרון. הפכו שני קלפים בכל תור, נסו לזכור מה ראיתם, ומצאו זוגות.","חובה"
"intro-patterns","הוראת פתיחה: רצפים","ברוכים הבאים למשחק רצפים. הסתכלו על הסדרה, חשבו מה בא אחר כך, ובחרו את ההמשך הנכון.","חובה"
"intro-sorting","הוראת פתיחה: מיון וסיווג","ברוכים הבאים למשחק מיון וסיווג. הסתכלו על הפריט, חשבו לאיזו קבוצה הוא שייך, ובחרו את הסל המתאים.","חובה"
"feedback-correct-01","משוב חיובי","כל הכבוד!","חובה"
"feedback-correct-02","משוב חיובי","מצוין!","חובה"
"feedback-correct-03","משוב חיובי","אלוף או אלופה!","חובה"
"feedback-correct-04","משוב חיובי","מעולה!","חובה"
"feedback-correct-05","משוב חיובי","נהדר!","חובה"
"feedback-retry-01","ניסיון נוסף","כמעט!","חובה"
"feedback-retry-02","ניסיון נוסף","נסו שוב.","חובה"
"feedback-retry-03","ניסיון נוסף","עוד רגע מצליחים!","חובה"
"feedback-retry-04","ניסיון נוסף","בואו ננסה שוב!","חובה"
"matching-correct","התאמה","כל הכבוד, מצאתם התאמה!","חובה"
"matching-retry","התאמה","כמעט, נסו שוב.","חובה"
"memory-correct","זיכרון","מצוין, מצאתם זוג!","חובה"
"memory-retry","זיכרון","לא זוג, נסו לזכור איפה הקלפים היו.","חובה"
"summary-stars-3","סיום משחק","ביצוע מצוין! שמרתם על דיוק נהדר.","מומלץ"
"summary-stars-2","סיום משחק","עבודה יפה מאוד. עוד קצת תרגול ותקבלו שלושה כוכבים.","מומלץ"
"summary-stars-1","סיום משחק","כל הכבוד שסיימתם. ממשיכים להתאמן בקצב רגוע.","מומלץ"
"summary-stars-0","סיום משחק","סיימתם את הפעילות. ננסה שוב ונצבור ביטחון.","מומלץ"
"content-colors-001","שאלה: colors","איזה צבע מופיע כאן?","חובה"
"content-colors-002","שאלה: colors","מה הצבע של ים?","חובה"
"content-colors-003","שאלה: colors","לאיזו קבוצת צבעים שייך ירוק?","חובה"
"content-colors-005","שאלה: colors","מה הצבע של תפוז?","חובה"
"content-colors-006","שאלה: colors","לאיזו קבוצת צבעים שייך סגול?","חובה"
"content-colors-008","שאלה: colors","מה הצבע של ענן?","חובה"
"content-colors-009","שאלה: colors","לאיזו קבוצת צבעים שייך שחור?","חובה"
"content-colors-011","שאלה: colors","מה הצבע של תות?","חובה"
"content-colors-012","שאלה: colors","לאיזו קבוצת צבעים שייך כחול?","חובה"
"content-colors-014","שאלה: colors","מה הצבע של שמש?","חובה"
"content-colors-015","שאלה: colors","לאיזו קבוצת צבעים שייך כתום?","חובה"
"content-colors-017","שאלה: colors","מה הצבע של פרח ורוד?","חובה"
"content-colors-018","שאלה: colors","לאיזו קבוצת צבעים שייך לבן?","חובה"
"content-colors-020","שאלה: colors","מה הצבע של שוקולד?","חובה"
