"path","asset_type","creator_or_provider","creation_tool","creation_or_receipt_date","input_source","claimed_rights_holder","license_or_agreement","commercial_and_store_distribution","attribution_required","evidence_document","sha256","status","notes_and_risk"
"docs/art-direction/claude-design/props-source/building_workshop/prop_build_shape_circle_blue.png","png","Claimed Anthropic Claude Design output; operator/account unknown","Claude Design (claim only; plan/model/version not recorded)","Claimed 2026-07-29","README references missing uploads/pasted-1785302721105-0.png","Project owner (claim not verified)","None found in repository","UNVERIFIED","UNVERIFIED","No","e95034c06d8abd3f0f22125305adee2fad9480d63a940737a838a80e48014f7d","BLOCKED_UNVERIFIED","BLOCKER: the referenced source sheet is absent; prompts, output receipt, plan, applicable terms, and source-rights evidence are absent."
"docs/art-direction/claude-design/props-source/building_workshop/prop_build_shape_square_yellow.png","png","Claimed Anthropic Claude Design output; operator/account unknown","Claude Design (claim only; plan/model/version not recorded)","Claimed 2026-07-29","README references missing uploads/pasted-1785302721105-0.png","Project owner (claim not verified)","None found in repository","UNVERIFIED","UNVERIFIED","No","aed017bf35b3b90ac8dda7f2c4c9ba18505ef69fbf37c510a181f435fd25e1e6","BLOCKED_UNVERIFIED","BLOCKER: the referenced source sheet is absent; prompts, output receipt, plan, applicable terms, and source-rights evidence are absent."
"docs/art-direction/claude-design/props-source/building_workshop/prop_build_shape_triangle_red.png","png","Claimed Anthropic Claude Design output; operator/account unknown","Claude Design (claim only; plan/model/version not recorded)","Claimed 2026-07-29","README references missing uploads/pasted-1785302721105-0.png","Project owner (claim not verified)","None found in repository","UNVERIFIED","UNVERIFIED","No","7a74993e7bc514e57107fc45752620b046f4c6b4dbb20b5f5fc810082dc38e5f","BLOCKED_UNVERIFIED","BLOCKER: the referenced source sheet is absent; prompts, output receipt, plan, applicable terms, and source-rights evidence are absent."
"docs/art-direction/claude-design/props-source/feed_the_monster/prop_monster_food_apple.png","png","Claimed Anthropic Claude Design output; operator/account unknown","Claude Design (claim only; plan/model/version not recorded)","Claimed 2026-07-29","README references missing uploads/pasted-1785302721105-0.png","Project owner (claim not verified)","None found in repository","UNVERIFIED","UNVERIFIED","No","0a2991a45b1d60c9f180a7a4943b289fa033d62a0bbc3c6c78c278f38db47f56","BLOCKED_UNVERIFIED","BLOCKER: the referenced source sheet is absent; prompts, output receipt, plan, applicable terms, and source-rights evidence are absent."
"docs/art-direction/claude-design/props-source/feed_the_monster/prop_monster_food_strawberry.png","png","Claimed Anthropic Claude Design output; operator/account unknown","Claude Design (claim only; plan/model/version not recorded)","Claimed 2026-07-29","README references missing uploads/pasted-1785302721105-0.png","Project owner (claim not verified)","None found in repository","UNVERIFIED","UNVERIFIED","No","db8da3c14f9753061e24101b925c7abed82ebb9d5c199b95014d652cbc9cd716","BLOCKED_UNVERIFIED","BLOCKER: the referenced source sheet is absent; prompts, output receipt, plan, applicable terms, and source-rights evidence are absent."
"docs/art-direction/claude-design/props-source/feed_the_monster/prop_monster_monster_idle.png","png","Claimed Anthropic Claude Design output; operator/account unknown","Claude Design (claim only; plan/model/version not recorded)","Claimed 2026-07-29","README references missing uploads/pasted-1785302721105-0.png","Project owner (claim not verified)","None found in repository","UNVERIFIED","UNVERIFIED","No","da2ed4baf289989fdf107df8f90493064698829b872808857802731971a0dd47","BLOCKED_UNVERIFIED","BLOCKER: the referenced source sheet is absent; prompts, output receipt, plan, applicable terms, and source-rights evidence are absent."
"docs/art-direction/claude-design/props-source/letter_factory/prop_letters_piece_tile.png","png","Claimed Anthropic Claude Design output; operator/account unknown","Claude Design (claim only; plan/model/version not recorded)","Claimed 2026-07-29","README references missing uploads/pasted-1785302721105-0.png","Project owner (claim not verified)","None found in repository","UNVERIFIED","UNVERIFIED","No","e7ef9273ae55b0176210c63b591fabdc50e5bcc9c481311e5650bca485889118","BLOCKED_UNVERIFIED","BLOCKER: the referenced source sheet is absent; prompts, output receipt, plan, applicable terms, and source-rights evidence are absent."
"docs/art-direction/claude-design/props-source/letter_factory/prop_letters_reward_star.png","png","Claimed Anthropic Claude Design output; operator/account unknown","Claude Design (claim only; plan/model/version not recorded)","Claimed 2026-07-29","README references missing uploads/pasted-1785302721105-0.png","Project owner (claim not verified)","None found in repository","UNVERIFIED","UNVERIFIED","No","997605b595f7e3eeff1037ffb7eb049f57630fc9a9a261545e3a03d2c292244f","BLOCKED_UNVERIFIED","BLOCKER: the referenced source sheet is absent; prompts, output receipt, plan, applicable terms, and source-rights evidence are absent."
"docs/art-direction/claude-design/props-source/magic_garden/prop_garden_balloon_red.png","png","Claimed Anthropic Claude Design output; operator/account unknown","Claude Design (claim only; plan/model/version not recorded)","Claimed 2026-07-29","README references missing uploads/pasted-1785302721105-0.png","Project owner (claim not verified)","None found in repository","UNVERIFIED","UNVERIFIED","No","8909331c760856773a9fe7ff6821d44d57061a15286eb685f76b583d2131a1b4","BLOCKED_UNVERIFIED","BLOCKER: the referenced source sheet is absent; prompts, output receipt, plan, applicable terms, and source-rights evidence are absent."
"docs/art-direction/claude-design/props-source/magic_garden/prop_garden_brush_clean.png","png","Claimed Anthropic Claude Design output; operator/account unknown","Claude Design (claim only; plan/model/version not recorded)","Claimed 2026-07-29","README references missing uploads/pasted-1785302721105-0.png","Project owner (claim not verified)","None found in repository","UNVERIFIED","UNVERIFIED","No","ac8f52204ea9152151d120b6f148acc3017fb4881ee476644c2f86d616d052ea","BLOCKED_UNVERIFIED","BLOCKER: the referenced source sheet is absent; prompts, output receipt, plan, applicable terms, and source-rights evidence are absent."
